2026-03-30 11:58:45 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:45 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:45 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:46 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:46 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:46 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:47 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:47 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:47 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:48 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:48 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:48 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:49 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:49 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:50 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:50 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:50 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:51 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:51 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:51 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:52 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:52 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:52 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:53 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:53 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:53 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:54 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:54 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:54 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:55 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:55 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:55 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:56 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:56 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:57 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:57 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:57 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
